fold_id,cv_tag,html_id,sent_id,text,tag
0,cv000,29590,0,"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before .",pos
0,cv000,29590,1,"for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen .",pos
0,cv000,29590,2,to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd .,pos
0,cv000,29590,3,"the book ( or "" graphic novel , "" if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes .",pos
0,cv000,29590,4,"in other words , don't dismiss this film because of its source .",pos
0,cv000,29590,5,"if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes .",pos
0,cv000,29590,6,"getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?",pos
0,cv000,29590,7,"the ghetto in question is , of course , whitechapel in 1888 london's east end .",pos
0,cv000,29590,8,"it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision .",pos
0,cv000,29590,9,"when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case .",pos
0,cv000,29590,10,"abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium .",pos
0,cv000,29590,11,"upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach .",pos
0,cv000,29590,12,"i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay .",pos
0,cv000,29590,13,"in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end .",pos
0,cv000,29590,14,"it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts .",pos
0,cv000,29590,15,"and from hell's ending had me whistling the stonecutters song from the simpsons for days ( "" who holds back the electric car/who made steve guttenberg a star ? "" ) .",pos
0,cv000,29590,16,don't worry - it'll all make sense when you see it .,pos
0,cv000,29590,17,"now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) .",pos
0,cv000,29590,18,"the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic .",pos
0,cv000,29590,19,oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place .,pos
0,cv000,29590,20,"even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent .",pos
0,cv000,29590,21,"ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham .",pos
0,cv000,29590,22,"i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad .",pos
0,cv000,29590,23,"the film , however , is all good .",pos
0,cv000,29590,24,"2 : 00 - r for strong violence/gore , sexuality , language and drug content",pos
0,cv001,18431,0,"every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling .",pos
0,cv001,18431,1,"mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example .",pos
0,cv001,18431,2,did anybody know this film existed a week before it opened ?,pos
0,cv001,18431,3,the plot is deceptively simple .,pos
0,cv001,18431,4,george washington carver high school is having student elections .,pos
0,cv001,18431,5,"tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high .",pos
0,cv001,18431,6,"mr . "" m "" ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run .",pos
0,cv001,18431,7,"and paul's nihilistic sister jumps in the race as well , for personal reasons .",pos
0,cv001,18431,8,"the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be .",pos
0,cv001,18431,9,"you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have .",pos
0,cv001,18431,10,"_election , a good film , does not live up to its hype .",pos
0,cv001,18431,11,"what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier .",pos
0,cv001,18431,12,the similarities are staggering :,pos
0,cv030,21593,29,"there's a famous anecdote about fletch director michael ritchie inviting picketers of the last temptation of christ into a screening on his dime , just so they could know for certain what they were rallying against .",pos
0,cv030,21593,30,( not one of them had watched it . ),pos
0,cv030,21593,31,every single person refused .,pos
0,cv030,21593,32,"smith and scorsese have a lot in common , and so do the two films in question , because both smith's bethany and scorsese's jesus are hollow shells without their faith .",pos
0,cv030,21593,33,"in fact , dogma's denouement ( which follows a thrilling showdown that's worth the wait ) is a catholic love-in , a veritable recruitment poster .",pos
0,cv030,21593,34,( i felt sentimental about a religion i don't belong to .,pos
0,cv030,21593,35,"now that's powerful filmmaking . ) smith is nothing if not sincere about his own devotion to god , and that spirituality shines through .",pos
0,cv030,21593,36,it's enough to make me forgive dogma for its editorial sins .,pos
0,cv030,21593,37,my religion is movies .,pos
0,cv030,21593,38,"when the catholic league beats on dogma for imaginary crimes against a doctrine , in a roundabout way they're attacking what i live for : freedom of expression through celluloid .",pos
0,cv030,21593,39,"i therefore feel that , although i'm no bible-thumper , i'm at least as qualified to criticize dogma as william donohue and his followers .",pos
0,cv031,18452,0,you've heard all the hype .,pos
0,cv031,18452,1,"you've seen all their faces - natalie portman ( the professional ) as queen amidala , liam neeson ( schindler's list ) as qui-gon jinn , ewan mcgregor ( trainspotting ) as obi-wan kenobi , and jake lloyd ( jingle all the way ) as young anakin skywalker .",pos
0,cv031,18452,2,"if you've read any reviews , you've also probably heard that this movie fails to live up to the magic and humanity of the first trilogy .",pos
0,cv031,18452,3,"you also may have heard that this one's too kiddie-friendly , and doesn't have enough content for adults .",pos
0,cv031,18452,4,believe the hype .,pos
0,cv031,18452,5,"the effects are stunning , the digitalized creatures are amazingly realistic , the lightsaber duels are amazing , and queen amidala's sumptuous robes are fit to be worn by queen elizabeth .",pos
0,cv031,18452,6,"but there's something missing here , and it isn't budget or effects - it's everything money * can't * buy .",pos
0,cv031,18452,7,the actors struggle as best they can to flesh out broad-stroked and flat characters .,pos
0,cv031,18452,8,"the most successful at this is liam neeson who , as qui-gon jinn , a jedi master to young obi-wan kenobi , has quiet dignity and a wise , commanding presence .",pos
0,cv031,18452,9,"he is the anchor to this movie , as he is the one character who george lucas apparently spent some time fleshing out .",pos
0,cv031,18452,10,portman's queen amidala and mcgregor's obi-wan kenobi don't fare nearly so well .,pos
0,cv031,18452,11,"amidala , the future mother of luke and leia and the queen of a peaceful planet being invaded by the trade federation ( ? ! ? ) , comes off as stoic , stilted and caricatured ( it appears as though she was a vulcan geisha in a former life ) .",pos
0,cv031,18452,12,"and obi-wan , although mcgregor makes him very endearing , has so little screen time that he's nothing but a robin to qui-gon jinn's batman .",pos
0,cv031,18452,13,"however , mcgregor does struggle manfully to infuse this surprisingly small supporting role with a spark of genuine insight and humanity , and he does a good job .",pos
0,cv031,18452,14,"he also absolutely nails alec guiness' ( obi-wan in episode 4 - 6 ) scottish accent , and that really makes his presence in the film more profound than it might have been otherwise .",pos
0,cv031,18452,15,"in fact , lucas seems to bank on that preexisting knowledge quite a bit , and that's one of the problems with this film .",pos
0,cv031,18452,16,"i would never call myself a "" star wars "" fan - especially not considering what it means to be a fanatic these days - but i've always enjoyed the films along with everyone else in america .",pos
0,cv031,18452,17,"however , if you are the one person in america who * hasn't * seen the films at all or even recently , or who doesn't bother to brush-up on the names of obscure characters , you may be hopelessly lost .",pos
0,cv031,18452,18,"for example , one of the film's main ( nefarious ) characters is senator palpatine .",pos
0,cv031,18452,19,"for those of you not recently steeped in "" star wars "" trivia , emperor palpatine is that scary hooded apparition who was darth vader's master in "" return of the jedi "" and "" empire strikes back . """,pos
0,cv031,18452,20,"so , obviously , his appearance in "" phantom menace "" is meant to stir some echoes of his later role in the series , thus making his role here more meaningful .",pos
0,cv031,18452,21,a lot of the movie is like that .,pos
0,cv031,18452,22,"r2-d2 and c-3po make token appearances , and it's obvious that lucas is banking on the audience's pre-existing fondness for them . . .",pos
0,cv031,18452,23,because he doesn't do much to add to it in any way .,pos
0,cv031,18452,24,"same goes for jabba the hutt , who doesn't look as much mean here as he does corpulent and lazy .",pos
0,cv031,18452,25,"even * planets * make foreshadowing guest appearances in this film - tatooine ( the desert world where luke grew up ) , coruscant ( the cloud city from "" empire strikes back "" ) , and alderaan ( leia's home planet - which we never actually see - that gets blown up in "" star wars "" ) show up or are mentioned briefly in passing .",pos
0,cv031,18452,26,what's the result of tying so many plot points and characters to future films ?,pos
0,cv031,18452,27,the answer is that this one seems surprisingly empty .,pos
0,cv031,18452,28,"there's no meat - no substance - that makes you want to love the characters as they are , not as they will be .",pos
0,cv031,18452,29,another problem is that there are actually * too many * alien characters in the film .,pos
0,cv031,18452,30,"i was distracted by the fact that two of the main evil characters - strange looking aliens who looked like gila monsters - had mouths that barely moved , making them look more like muppets than actual characters .",pos
0,cv031,18452,31,"and jar jar binks , a silly roger rabbitish amphibious character , is intended as comic relief , but what he really becomes is annoying - and fast .",pos
0,cv031,18452,32,"unlike chewbacca and c-3po , who got their humanity ( if you'll pardon the expression ) from their interactions with the human characters , jar jar is often left to interact mostly with others of his kind , at times making the movie seem like nothing more than a very expensive "" teenage mutant ninja turtles . """,pos
0,cv031,18452,33,"furthermore , the dialogue is often stilted and corny , and sometimes downright infantile , thereby rendering some characters into nothing more than bystanders to the plot .",pos
0,cv031,18452,34,"oddly , this isn't just * my * judgment - lucas has said that he designed this film for kids .",pos
0,cv031,18452,35,"well , he's done a good job .",pos
0,cv031,18452,36,"the hero of this film , of course , is young anakin , but it was very hard for me to feel any kinship or identify with an eight-year-old boy .",pos
0,cv031,18452,37,"that's not jake lloyd's fault , though - he does a good job of being a cute kid , which is apparently all lucas asked of him .",pos
0,cv031,18452,38,"that's another mistake , of course , because the cute tyke becomes darth vader .",pos
0,cv031,18452,39,warning : spoilers ahead ! ! ! !,pos
0,cv031,18452,40,"in my opinion , there was not nearly enough foreshadowing of anakin's future evil in the film .",pos
0,cv031,18452,41,"the boy is all blond flowing hair and rosy cheeks , and there's nothing more than a spark of aggression in him throughout the entire movie .",pos
0,cv031,18452,42,"he has a doting mother ( pernilla august , making her first english- language film ) and is a slave to a gross flying gnome on tatooine .",pos
0,cv031,18452,43,but the only indication the audience gets that this kid isn't all hearts and roses is yoda's hesitation in allowing him to train as a jedi under qui-gon jinn .,pos
0,cv031,18452,44,his explanation ?,pos
0,cv031,18452,45,""" his future is clouded . """,pos
0,cv031,18452,46,( warning : major spoiler ahead .,pos
0,cv031,18452,47,enter at your own risk . ),pos
0,cv031,18452,48,"of course , the noble qui-gon dies at the hand of darth maul , a scary-looking sith lord who excels at the jedi arts , but has turned to the dark side .",pos
0,cv031,18452,49,"this dude has maybe two lines in the entire movie , but he establishes his presence through his amazing moves with his double-sided lightsaber , and his scary facial makeup .",pos
0,cv031,18452,50,"because qui-gon never gets a chance to train the young anakin in the ways of the force , obi-wan , qui-gon's young padawan apprentice ( one level below knightdom ) , must take over the training himself .",pos
0,cv031,18452,51,"so , at the end of the movie , we end where the saga actually begins - with obi-wan kenobi and his young apprentice , anakin "" darth vader "" skywalker .",pos
0,cv031,18452,52,did this story need to be told ?,pos
0,cv031,18452,53,i would say no .,pos
0,cv031,18452,54,but is it a worthwhile movie to see ?,pos
0,cv031,18452,55,absolutely .,pos
0,cv031,18452,56,"if you don't enter the theater with jedi-size expectations , and you simply want to be treated to an enjoyable visual spectacle , then this is your movie .",pos
0,cv031,18452,57,the tatooine pod races are a triumph of effects and computer animation .,pos
0,cv031,18452,58,the digitalized backgrounds on some of the planets are an astonishing sight .,pos
0,cv031,18452,59,"and yoda and young obi-wan are worth seeing for their origins in a simpler , happier time .",pos
0,cv031,18452,60,"above all , this is a fun movie .",pos
0,cv031,18452,61,"not deep , not meaningful , and not profound .",pos
0,cv031,18452,62,but fun .,pos
0,cv031,18452,63,"maybe next time , lucas will hire lawrence kasdan to co-write the script , and the guy who directed "" empire "" will direct .",pos
0,cv031,18452,64,"because if lucas does the next one himself , it will be lacking the one thing it needs the most - potential .",pos
0,cv031,18452,65,: ),pos
0,cv032,22550,0,"as african american detective vergil tibbs questions a suspected white murderer inside a jail cell , there is a wonderful , eye-catching shot which instantaneously presents the main message of the entire film .",pos
0,cv032,22550,1,the shot has tibbs' face completely covered by the shadows of the prison bars .,pos
0,cv032,22550,2,"to see these bars blocking his face , we see how separated tibbs is from the rest of the characters in the film .",pos
0,cv032,22550,3,"as a black detective conducting an investigation in a southern town full of violent white bigots , no matter how innocent tibbs is , he is still seen by these bigots as a threat simply because of the color of his skin .",pos
0,cv032,22550,4,"the bars show that tibbs has not been given a fair chance to show exactly who he is , instead others have chosen him as different and dangerous .",pos
0,cv032,22550,5,this one shot amazes me because it captures a whole theme in a matter of seconds .,pos
0,cv032,22550,6,it perhaps may be the most powerful image i have seen in a film .,pos
0,cv032,22550,7,""" in the heat of the night "" was the first and the best of the three films norman jewison directed concerning racism in america .",pos
0,cv032,22550,8,jewison has a very keen style of displaying various cases of racism as he is neither pedantic nor overly sentimental .,pos
0,cv032,22550,9,in these three films he does an excellent job creating very detailed equal analyses of characters from the abused to the abusers .,pos
0,cv032,22550,10,he is also not afraid to tell the absolute truth about how corrupt society was in the past and is in the present .,pos
0,cv032,22550,11,"preceding the very original "" a soldier's story "" and the recently released "" the hurricane , "" "" in the heat of the night contains some classic lines and some very memorable characters .",pos
0,cv032,22550,12,"the film , which won best picture in 1967 focuses on vergil tibbs , played superbly by sidney poitier as a fearless african american police officer from philadelphia who refuses to give up on an investigation in a white town where is he not wanted .",pos
0,cv032,22550,13,tibbs is a man who rarely loses his temper and that is worth mentioning because he is constantly facing abuse from those around him .,pos
0,cv032,22550,14,"as a hero who is not afraid to face off against five men with chains , tibbs is the perfect protagonist .",pos
0,cv032,22550,15,"poitier also gives an excellent , noteworthy voice to his character .",pos
0,cv032,22550,16,"never nervous and always commanding , his speech patterns are very manipulative as they range from stentorian to soothing .",pos
0,cv032,22550,17,"however , unlike "" the hurricane "" where denzel washington dominated over the rest of the cast , poitier shares the spotlight with rod steiger , who won best actor for his excellent performance .",pos
0,cv032,22550,18,"as a sheriff who helps tibbs and warns him of the dangers around him , steiger shows a great amount of skill in his role .",pos
0,cv032,22550,19,he starts off as racist and blind as the other townspeople .,pos
0,cv032,22550,20,"he would refer to tibbs as "" boy "" and would always suspiciously keep an eye on him .",pos
0,cv032,22550,21,"as the film progresses though , there is a very gradual change in the sheriff .",pos
0,cv032,22550,22,he begins to see the hardships tibbs faces and he sees the foolishness of his own neighbors .,pos
0,cv032,22550,23,what i really enjoyed about steiger's character was that he did not completely abandon his friends or connect with tibbs at the end of the film .,pos
0,cv032,22550,24,he still could not refer to tibbs as mister tibbs or officer tibbs but rather settled for virgil .,pos
0,cv032,22550,25,"instead , it was apparent that he was eventually going to see the world differently in the future .",pos
0,cv032,22550,26,most movies would have a character reversing all of his beliefs and influences in a matter of minutes .,pos
0,cv032,22550,27,this action would not have been realistic at all since it is nearly impossible for someone to believe something one day and believe something else the next day .,pos
0,cv032,22550,28,jewison's determination to make this film as realistic as possible is very obvious here and also very appropriate .,pos
0,cv032,22550,29,""" in the heat of the night "" shows the difference between the north and the south or a major city and a small town in the united states during the 1960's .",pos
0,cv032,22550,30,it displays this perfectly .,pos
0,cv032,22550,31,"however , the actual investigation , although it is not the main focus of the film , lacks interest .",pos
0,cv032,22550,32,it seemed rushed especially towards the end as if jewison had given his message about racism and did not feel like giving a credible explanation involving the murder victim .,pos
0,cv032,22550,33,there were way too many characters added during the last fifteen minutes and some of the scenes during this time period were inane ( police officer sam being a suspect was not needed ) .,pos
0,cv032,22550,34,"also , it is given that tibbs is a vigilant homicide detective who is the best at what he does , but some of his discoveries came out of nowhere and how he found out some of the important case details towards the end were never answered .",pos
0,cv032,22550,35,the rushed ending was the only mistake of this otherwise memorable jewison classic .,pos
0,cv032,22550,36,( a congratulations has to be given to actor scott wilson .,pos
